2710S26G3.str,DWTR_26G5.str,2023_26G5.str,2026_26G5.str,2587S26G3.str,2711aS26G3.str,eV
3785,3016,2737,2928,3281,3081,12140
3485,2982,2497,2955,3167,2984,12160
3812,2829,2718,2905,3130,2948,12180
3511,2704,2551,2598,2875,2850,12200
3883,3114,2680,2794,3450,3055,12220
3995,2943,2617,3022,3382,2984,12240
3936,2769,2645,2901,3414,3091,12260
3655,2748,2349,2763,3396,3117,12280
4191,2915,2604,2958,3236,3071,12300
3929,2876,2560,2820,3578,3138,12320
4439,3114,2639,2888,3971,3292,12340
4197,2896,2431,2797,3629,3163,12360
4707,2855,2529,2783,4008,3307,12380
4858,2826,2576,2894,4067,3441,12400
5106,2930,2718,2857,4040,3353,12420
4956,2881,2402,2831,4159,3466,12440
5851,2969,2554,3063,4488,3964,12460
5792,3107,2671,2871,4771,3744,12480
6217,2881,2617,2834,5137,3862,12500
6819,2982,2503,2851,5201,4206,12520
6675,2935,2753,2797,5639,4257,12540
7009,3016,2607,2908,5457,4226,12560
7061,2826,2491,3029,5927,4344,12580
7152,2756,2576,2777,5808,3939,12600
7708,2863,2560,2773,5758,4355,12620
7394,2964,2431,2817,5763,4616,12640
7035,2873,2532,2908,5795,4416,12660
6747,2634,2547,2656,5365,3733,12680
6446,2863,2481,2804,5032,3815,12700
5825,2953,2415,2948,5274,4113,12720
5949,2925,2308,2837,4890,3420,12740
5230,2857,2257,2538,4127,3528,12760
5204,3029,2225,2612,3976,3179,12780
4792,2824,2396,2410,3738,3338,12800
4093,2894,2147,2649,3789,3081,12820
3655,2639,1954,2316,3327,2840,12840
3694,2832,2191,2440,3149,2942,12860
3380,2829,2027,2450,3108,2989,12880
3485,2684,1881,2299,2984,3009,12900
3092,2816,1866,2100,2865,2732,12920
2962,2891,1932,2215,2888,2752,12940
3105,3026,1878,2083,3002,2788,12960
2857,2834,1954,2009,2875,2768,12980
2707,2704,1802,2009,2536,2706,13000
2890,2878,1831,2141,2568,2783,13020
2615,2852,1777,2178,2715,2614,13040
2726,2832,1856,2040,2605,2670,13060
2589,2450,1856,1902,2705,2526,13080
2550,2767,1844,1982,2747,2326,13100
2818,2710,1840,1996,2555,2583,13120
2713,2857,1780,2009,2486,2829,13140
2864,2808,1739,1982,2705,2604,13160
2530,2938,1910,2050,2687,2506,13180
2563,2857,1724,1888,2450,2681,13200
2478,2870,1831,1992,2555,2665,13220
2530,2743,1623,1892,2637,2711,13240
2694,2865,1651,1922,2491,2814,13260
2811,2723,1717,2030,2637,2814,13280
2694,2733,1512,1918,2792,2845,13300
2680,2707,1667,1898,2705,2675,13320
2628,2795,1765,1834,2344,2624,13340
2707,2899,1774,1780,2724,2953,13360
2752,2886,1588,1824,2600,2937,13380
2726,2684,1487,1868,2619,2696,13400
2491,2686,1641,2046,2577,2855,13420
2805,2800,1660,1892,2788,2722,13440
2367,2894,1635,1908,2701,2778,13460
2184,2671,1326,1767,2367,2573,13480
2543,2902,1484,1730,2582,2568,13500
2530,2850,1604,1757,2486,2660,13520
