2710S26G3.str,DWTR_26G5.str,2023_26G5.str,2026_26G5.str,2587S26G3.str,2711aS26G3.str
9140,2876,2232,2491,6078,4411
8466,2977,2238,2639,5827,4488
8270,2873,2304,2450,5525,4216
6989,2839,2207,2487,4799,3759
6270,2702,2049,2373,4172,3425
5544,2886,2058,2477,4145,3338
4786,2883,2279,2450,3825,3415
4289,2878,2184,2430,3601,3019
3615,2723,2128,2413,3021,2747
3360,2933,1960,2447,2943,2696
3275,2787,2055,2514,3172,2794
3020,2922,2064,2497,2655,2773
2452,2730,1979,2205,2367,2326
2661,3008,2188,2443,2568,2455
2576,2834,2254,2470,2418,2506
2452,2819,2036,2443,2495,2347
2105,2678,2068,2181,2436,2239
2537,2839,1951,2376,2577,2218
2628,2852,2099,2457,2399,2434
2680,2904,1995,2231,2431,2568
2537,2826,1913,2265,2280,2398
2380,2990,2184,2343,2408,2378
2589,3024,2093,2507,2358,2475
2484,2873,2109,2645,2354,2424
2184,2839,1840,2194,2139,2367
2504,2834,2102,2329,2568,2198
2452,2878,2143,2319,2482,2301
2301,2873,1954,2363,2500,2352
2439,2751,1888,2208,2303,2239
2700,2909,2096,2390,2381,2326
2680,2829,2172,2302,2386,2465
2537,2834,2087,2258,2541,2455
2216,2998,1885,2511,2344,2408
2641,2896,1998,2369,2299,2295
2602,2928,2147,2184,2418,2383
2445,2798,1926,2470,2290,2357
2504,2806,1862,2127,2175,2224
2622,2886,2102,2521,2545,2224
2589,2974,1903,2363,2459,2511
2667,2896,1967,2410,2404,2331
2327,2793,1963,2258,2376,2275
2661,2863,1957,2221,2500,2111
2864,3003,1926,2326,2312,2372
2824,2852,2005,2211,2413,2521
2197,2751,1784,2194,2267,2331
3040,2860,1859,2282,2317,2331
2798,2943,1922,2386,2386,2460
3249,3005,1941,2336,2157,2568
2589,2629,1787,2262,1942,2213
2929,2909,1979,2262,2445,2331
2994,2824,2197,2410,2582,2342
3020,2904,2017,2194,2340,2362
2929,2915,1793,2184,2395,2157
2935,3047,1976,2167,2271,2506
3105,3029,1831,2376,2354,2434
3047,3210,2068,2326,2216,2424
3086,2922,1717,2248,2244,2306
3171,3088,1948,2282,2322,2485
3308,3262,2169,2326,2395,2424
3472,3296,2090,2518,2408,2516
3158,3312,2001,2265,2207,2265
3125,3434,2083,2460,2587,2891
3256,3343,2080,2359,2550,2526
3204,3392,2005,2487,2459,2624
3217,3306,2191,2326,2600,2614
3282,3413,2121,2608,2431,2655
3465,3293,2361,2427,2495,2691
3243,3418,2349,2538,2733,2491
3086,3244,2200,2534,2577,2552
3491,3221,2282,2750,2678,2958
3681,3306,2667,2837,2971,3076
3576,3070,2544,2767,2916,2814
3341,3062,2412,2730,2829,2542
3642,3140,2636,2905,2815,2819
3942,3011,2522,2703,2838,2978
3727,3075,2551,2965,3190,2958
3812,2868,2506,2831,2925,2768
3785,3016,2737,2928,3281,3081
3485,2982,2497,2955,3167,2984
3812,2829,2718,2905,3130,2948
3511,2704,2551,2598,2875,2850
3883,3114,2680,2794,3450,3055
3995,2943,2617,3022,3382,2984
3936,2769,2645,2901,3414,3091
3655,2748,2349,2763,3396,3117
4191,2915,2604,2958,3236,3071
3929,2876,2560,2820,3578,3138
4439,3114,2639,2888,3971,3292
4197,2896,2431,2797,3629,3163
4707,2855,2529,2783,4008,3307
4858,2826,2576,2894,4067,3441
5106,2930,2718,2857,4040,3353
4956,2881,2402,2831,4159,3466
5851,2969,2554,3063,4488,3964
5792,3107,2671,2871,4771,3744
6217,2881,2617,2834,5137,3862
6819,2982,2503,2851,5201,4206
6675,2935,2753,2797,5639,4257
7009,3016,2607,2908,5457,4226
7061,2826,2491,3029,5927,4344
7152,2756,2576,2777,5808,3939
7708,2863,2560,2773,5758,4355
7394,2964,2431,2817,5763,4616
7035,2873,2532,2908,5795,4416
6747,2634,2547,2656,5365,3733
6446,2863,2481,2804,5032,3815
5825,2953,2415,2948,5274,4113
5949,2925,2308,2837,4890,3420
5230,2857,2257,2538,4127,3528
5204,3029,2225,2612,3976,3179
4792,2824,2396,2410,3738,3338
4093,2894,2147,2649,3789,3081
3655,2639,1954,2316,3327,2840
3694,2832,2191,2440,3149,2942
3380,2829,2027,2450,3108,2989
3485,2684,1881,2299,2984,3009
3092,2816,1866,2100,2865,2732
2962,2891,1932,2215,2888,2752
3105,3026,1878,2083,3002,2788
2857,2834,1954,2009,2875,2768
2707,2704,1802,2009,2536,2706
2890,2878,1831,2141,2568,2783
2615,2852,1777,2178,2715,2614
2726,2832,1856,2040,2605,2670
2589,2450,1856,1902,2705,2526
2550,2767,1844,1982,2747,2326
2818,2710,1840,1996,2555,2583
2713,2857,1780,2009,2486,2829
2864,2808,1739,1982,2705,2604
2530,2938,1910,2050,2687,2506
2563,2857,1724,1888,2450,2681
2478,2870,1831,1992,2555,2665
2530,2743,1623,1892,2637,2711
2694,2865,1651,1922,2491,2814
2811,2723,1717,2030,2637,2814
2694,2733,1512,1918,2792,2845
2680,2707,1667,1898,2705,2675
2628,2795,1765,1834,2344,2624
2707,2899,1774,1780,2724,2953
2752,2886,1588,1824,2600,2937
2726,2684,1487,1868,2619,2696
2491,2686,1641,2046,2577,2855
2805,2800,1660,1892,2788,2722
2367,2894,1635,1908,2701,2778
2184,2671,1326,1767,2367,2573
2543,2902,1484,1730,2582,2568
2530,2850,1604,1757,2486,2660
2465,2767,1408,1817,2514,2758
2308,2717,1623,1804,2226,2516
2380,2562,1503,1814,2317,2501
2275,2855,1474,1649,2504,2568
2301,2728,1512,1582,2226,2372
2295,2520,1462,1515,2312,2213
2426,2645,1402,1774,2102,2383
2223,2715,1408,1784,2285,2414
2537,2754,1411,1777,2157,2583
2373,2575,1326,1565,2057,2162
2484,2710,1695,1646,2194,2224
2295,2826,1439,1646,2427,2229
2373,2606,1405,1696,2523,2516
2288,2668,1319,1504,2226,2301
2184,2668,1361,1666,2440,2485
2530,2735,1376,1568,2431,2619
2399,2855,1465,1649,2440,2393
2491,2767,1439,1582,2285,2485
2667,2780,1439,1585,2381,2485
2419,2829,1345,1673,2395,2706
2929,2852,1449,1558,2386,2953
2720,2546,1297,1528,2331,2701
2850,2842,1446,1716,2495,2624
2968,2863,1433,1622,2472,2768
2896,2920,1518,1720,2472,2860
2870,2707,1203,1380,2386,2645
3452,2943,1364,1693,2737,2922
3197,3031,1301,1572,2532,2932
3001,2935,1263,1582,2527,2912
2785,2712,1155,1541,2303,2865
3602,2943,1342,1646,2408,3148
3138,2681,1395,1515,2486,2912
3092,2870,1379,1605,2468,2978
2805,2660,1263,1572,2472,2876
3105,2660,1319,1494,2422,2989
3014,2748,1237,1471,2322,2799
2968,2559,1319,1632,2450,2794
2818,2530,1149,1599,2130,2388
2602,2658,1313,1531,2404,2763
2772,2712,1307,1511,2390,2706
2615,2694,1354,1545,2386,2552
2465,2601,1203,1430,2038,2285
2752,2772,1297,1457,2271,2526
2569,2450,1405,1373,2390,2136
2341,2590,1140,1528,2303,2259
2733,2684,1269,1434,2088,2162
2772,2533,1291,1471,2152,2362
2556,2595,1218,1437,2541,2485
2615,2593,1319,1626,2390,2383
2406,2556,1165,1498,2098,2398
2694,2691,1291,1545,2262,2378
2792,2499,1168,1447,2450,2557
2739,2559,1247,1441,2372,2301
2752,2489,1215,1377,2358,2573
2942,2502,1152,1558,2404,2480
3001,2517,1266,1437,2655,2306
3145,2572,1288,1377,2390,2485
3105,2432,1200,1292,2335,2393
3158,2650,1332,1393,2514,2352
3177,2645,1323,1501,2797,2593
3171,2543,1165,1501,2632,2408
2707,2429,1130,1366,2285,2254
3119,2590,1278,1481,2669,2526
2975,2606,1215,1377,2523,2588
2831,2611,1351,1414,2459,2573
2883,2372,1203,1383,2495,2259
2772,2533,1209,1292,2582,2424
2680,2455,1253,1303,2440,2470
2837,2489,1124,1481,2527,2408
2530,2370,1099,1424,2372,2290
2615,2479,1140,1265,2450,2419
2484,2650,1177,1427,2472,2367
2360,2385,1140,1303,2280,2496
2373,2268,1023,1313,2171,2311
2412,2486,1054,1380,2303,2439
2373,2367,1114,1350,2363,2224
2426,2429,1190,1299,2143,2321
2327,2307,1064,1340,2276,2259
2321,2424,1089,1296,2198,2188
2596,2484,1140,1407,2148,2449
2295,2336,1070,1356,2148,2295
2426,2331,1007,1215,2006,2090
2360,2359,1064,1279,2175,2213
2046,2344,1146,1390,2075,2121
2157,2473,1124,1410,2125,2496
2020,2193,1080,1249,2125,2146
1922,2432,1013,1380,2002,2167
2190,2336,1083,1228,1919,2249
1987,2325,1121,1181,2107,2254
2020,2325,1089,1269,2057,2018
2086,2349,1064,1370,1970,2049
2144,2310,998,1235,2061,2188
2164,2242,1020,1289,2029,2075
1837,2299,985,1077,1901,1967
2164,2354,1057,1343,2025,2285
1831,2424,1042,1296,2230,2414
2033,2403,982,1393,2111,2198
2027,2107,998,1208,2057,2321
1935,2473,1162,1346,2043,2347
2059,2364,1076,1161,2184,2424
2138,2375,972,1299,2194,2352
2099,2328,1007,1107,2290,2249
2066,2359,1092,1198,2308,2403
2105,2450,1032,1232,2354,2629
2138,2473,1007,1252,2482,2532
2007,2325,912,1158,2331,2424
2184,2375,1020,1185,2290,2645
2242,2543,938,1208,2472,2619
2229,2401,1020,1232,2340,2681
2177,2473,979,1121,2395,2588
2125,2403,982,1212,2532,2814
